"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 24 12:20:58 CDT 2024","Wed Apr 24 12:20:58 CDT 2024","1","Default Suite","newrossstores","com.rossstores.tests.RossStores","com.rossstores.tests.RossStores","setUp","setUp",""
"passed","Mon Apr 29 13:14:50 CDT 2024","Mon Apr 29 13:21:52 CDT 2024","421086","Default Suite","newrossstores","com.rossstores.tests.RossStores","com.rossstores.tests.RossStores","testRossStores","testRossStores",""
